id,name,alias
167,ADULT AND COMMUNITY EDUCATION-HUDSON,
168,UNIVERSITY OF IDAHO,UIDAHO
169,CITY COLLEGES OF CHICAGO-MALCOLM X COLLEGE,
170,ILLINOIS CENTRAL COLLEGE,ICC
171,COLLEGE OF LAKE COUNTY,
172,LAKE LAND COLLEGE,
173,LINCOLN LAND COMMUNITY COLLEGE,LLCC | LINCOLN LAND
174,METHODIST COLLEGE,
175,REND LAKE COLLEGE,
176,SPOON RIVER COLLEGE,SRC|SPOON|SPOON RIVER
177,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,
178,WAUBONSEE COMMUNITY COLLEGE,WAUBONSEE
179,IOWA CENTRAL COMMUNITY COLLEGE,
180,IOWA LAKES COMMUNITY COLLEGE,
181,UNIVERSITY OF KANSAS,"UNIVERSITY OF KANSAS | UNIV OF KANSAS | KANSAS UNIVERSITY | KU | KANSAS JAYHAWKS | UNIV OF KS |UNIVERSITY OF KS | KANSAS UNIV | KANSAS U, KUMC, UNIVERSITY OF KANSAS MEDICAL CENTER, KU MEDICAL CENTER, KANSAS UNIVERSITY MEDICAL CENTER"
182,WYOTECH,
183,AUSTIN'S BEAUTY COLLEGE INC,AUSTIN'S BEAUTY COLLEGE
184,ANSON COLLEGE OF COSMETOLOGY,
185,YESHIVA ZICHRON ARYEH,
186,MIAMI UNIVERSITY-MIDDLETOWN,
187,MOUNT VERNON NAZARENE UNIVERSITY,MVNU
188,MOUNT SAINT JOSEPH UNIVERSITY,"MOUNT ST. JOSEPH UNIVERSITY, MOUNT ST. JOE, MOUNT, THE MOUNT,MOUNT ST. JOSEPH UNIVERSITY ON THE OHIO."
189,UNIVERSIDAD CENTRAL DE BAYAMON,UCB
190,CARIBBEAN UNIVERSITY-BAYAMON,
191,KISHWAUKEE COLLEGE,
192,MIDFIELD INSTITUTE OF COSMETOLOGY,
193,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,AIAM
194,FELBRY COLLEGE SCHOOL OF NURSING,FCSON
195,REGIONAL CENTER FOR BORDER HEALTH,
196,KENTUCKY HORSESHOEING SCHOOL,
197,TRI-STATE BARBER COLLEGE,
198,IMAGE MAKER BEAUTY INSTITUTE,
199,DALTON INSTITUTE OF ESTHETICS AND COSMETOLOGY,
200,CAAN ACADEMY OF NURSING,
201,MARTINSBURG COLLEGE,
202,CENTRAL YESHIVA BETH JOSEPH,
203,GARDEN STATE SCIENCE AND TECHNOLOGY INSTITUTE,
204,MED ACADEMY,
205,SONORAN DESERT INSTITUTE,
206,YESHIVAS MAHARIT D'SATMAR,
207,TEXTURES INSTITUTE OF COSMETOLOGY,
208,PIBERRY INSTITUTE,
209,REGINA WEBB ACADEMY,REGINA WEBB ACADEMY LLC
210,DEHART TECHNICAL SCHOOL,
211,LEBANON COLLEGE OF COSMETOLOGY,"IMPERIUM EDUCATION GROUP, INC."
212,HAIR ACADEMY SCHOOL OF BARBERING & BEAUTY,
213,NATIONAL PERSONAL TRAINING INSTITUTE,
214,THE NORTH COAST COLLEGE,THE NCC
215,COLBY COMMUNITY COLLEGE,
216,QUINCY COLLEGE,
217,SIMMONS UNIVERSITY,
218,TUFTS UNIVERSITY,
219,MOTT COMMUNITY COLLEGE,C.S. MOTT COMMUNITY COLLEGE CHARLES STEWART MOTT COMMUNITY COLLEGE
220,DELTA COLLEGE,
221,GRAND RAPIDS COMMUNITY COLLEGE,
222,HENRY FORD COLLEGE,
223,MONROE COUNTY COMMUNITY COLLEGE,
224,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE,M STATE
225,SOUTH CENTRAL COLLEGE,
226,HOPE COLLEGE OF ARTS AND SCIENCES,
227,MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN-ART INSTITUTE DALLAS,
228,HOSS LEE ACADEMY,
229,SEATTLE FILM INSTITUTE,
230,CALIFORNIA HEALTH SCIENCES UNIVERSITY,CHSU
231,CHRISTIAN CULINARY ACADEMY,
232,WESTERN TECHNICAL COLLEGE,
233,WESTERN TECHNICAL COLLEGE,
234,EASTERN GATEWAY COMMUNITY COLLEGE,
235,NORTHERN CAREER INSTITUTE,WILLOUGHBY-EASTLAKE SCHOOL OF PRACTICAL NURSING IS A PROGRAM THAT IS OFFERED AT THE NORTHERN CAREER INSTITUTE
236,OHIO UNIVERSITY-SOUTHERN CAMPUS,
237,UNIVERSITY OF MINNESOTA-DULUTH,
238,MINNESOTA STATE COLLEGE SOUTHEAST,"SOUTHEAST TECHNICAL|RED WING/WINONA TECHNICAL COLLEGE|RED WING TECHNICAL COLLEGE|WINONA TECHNICAL COLLEGE, MINNESOTA STATE COLLEGE-SOUTHEAST TECHNICAL"
239,INDIANA WESLEYAN UNIVERSITY-NATIONAL & GLOBAL,IWU
240,NORTHEAST LAKEVIEW COLLEGE,
241,TEACHERS COLLEGE OF SAN JOAQUIN,
242,ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSMETOLOGY,ALABAMA SCHOOL OF NAIL TECHNOLOGY
243,INTERNATIONAL DIVING INSTITUTE,
244,TULSA TECHNOLOGY CENTER,TULSA TECH
245,LAMAR STATE COLLEGE-ORANGE,
246,ROSS MEDICAL EDUCATION CENTER-LAFAYETTE,
247,PAUL MITCHELL THE SCHOOL-CLEAR LAKE,
248,PAUL MITCHELL THE SCHOOL-NAMPA,
249,KENNETH SHULER SCHOOL OF COSMETOLOGY-GOOSE CREEK,KENNETH SHULER SCHOOL OF COSMETOLOGY
250,LAMAR UNIVERSITY,
